report_id,report_title,analyst,date,tlp,ioc_type,ioc_value,context,expires,threat_actors
TIR-2026-003,Insider Threat: Pre-Departure Data Exfiltration Behavioral Patterns,ir0n,2026-04-12,AMBER,regex,(?i)(source[_-]?code|credentials|customer[_-]?data|pii|proprietary|confidential)\.zip$,Filename pattern indicating sensitive archive creation in user directories,None,Malicious Insider — Departing Employee
TIR-2026-004,Akira Ransomware: RMM Tool Abuse and Pre-Encryption Playbook,ir0n,2026-05-16,AMBER,ip,194.165.16.11,Akira affiliate C2 — observed in multiple IR engagements via AnyDesk relay,2026-08-16,Akira Ransomware
TIR-2026-004,Akira Ransomware: RMM Tool Abuse and Pre-Encryption Playbook,ir0n,2026-05-16,AMBER,ip,45.61.136.130,Akira exfiltration staging server,2026-08-16,Akira Ransomware
TIR-2026-004,Akira Ransomware: RMM Tool Abuse and Pre-Encryption Playbook,ir0n,2026-05-16,AMBER,sha256,1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b,Akira Windows encryptor — variant targeting manufacturing sector,2026-10-16,Akira Ransomware
TIR-2026-004,Akira Ransomware: RMM Tool Abuse and Pre-Encryption Playbook,ir0n,2026-05-16,AMBER,sha256,9f8e7d6c5b4a3928170615043c2b1a0f9e8d7c6b5a4938271605040302010f9e,Akira Linux/ESXi encryptor variant,2026-10-16,Akira Ransomware
TIR-2026-004,Akira Ransomware: RMM Tool Abuse and Pre-Encryption Playbook,ir0n,2026-05-16,AMBER,filename,winupd_svc.msi,AnyDesk silent MSI installer renamed to masquerade as Windows update,2026-08-16,Akira Ransomware
TIR-2026-004,Akira Ransomware: RMM Tool Abuse and Pre-Encryption Playbook,ir0n,2026-05-16,WHITE,domain,akiraefceqruaza.onion,Akira leak site — monitor for victim organization listings,None,Akira Ransomware
TIR-2026-005,Supply Chain Targeting of the AI/ML Developer Ecosystem,ir0n,2026-04-20,WHITE,package,torch-utils-ext,TeamPCP malicious PyPI package — mimics torch utility library; harvests AI provider API keys,2026-07-20,TeamPCP|Unknown Supply Chain Actor
TIR-2026-005,Supply Chain Targeting of the AI/ML Developer Ecosystem,ir0n,2026-04-20,WHITE,package,sklearn-accelerate,TeamPCP malicious PyPI package — mimics scikit-learn; exfils AWS credentials,2026-07-20,TeamPCP|Unknown Supply Chain Actor
TIR-2026-005,Supply Chain Targeting of the AI/ML Developer Ecosystem,ir0n,2026-04-20,WHITE,package,huggingface-hub-fast,TeamPCP malicious PyPI package — mimics HuggingFace library,2026-07-20,TeamPCP|Unknown Supply Chain Actor
TIR-2026-005,Supply Chain Targeting of the AI/ML Developer Ecosystem,ir0n,2026-04-20,WHITE,package,reakt,Typosquatted npm package mimicking React; installs keylogger via postinstall,2026-07-20,TeamPCP|Unknown Supply Chain Actor
TIR-2026-005,Supply Chain Targeting of the AI/ML Developer Ecosystem,ir0n,2026-04-20,WHITE,package,expresss,Typosquatted npm package mimicking Express.js framework,2026-07-20,TeamPCP|Unknown Supply Chain Actor
TIR-2026-005,Supply Chain Targeting of the AI/ML Developer Ecosystem,ir0n,2026-04-20,AMBER,ip,104.21.77.42,TeamPCP C2 endpoint — receives API key exfil via HTTPS POST,2026-07-20,TeamPCP|Unknown Supply Chain Actor
TIR-2026-005,Supply Chain Targeting of the AI/ML Developer Ecosystem,ir0n,2026-04-20,AMBER,ip,172.67.183.95,Secondary TeamPCP infrastructure — Cloudflare-proxied; hosts exfil receiver,2026-07-20,TeamPCP|Unknown Supply Chain Actor
TIR-2026-005,Supply Chain Targeting of the AI/ML Developer Ecosystem,ir0n,2026-04-20,AMBER,sha256,2c624232cdd221771294dfbb310acbc8c77f4b0d739d7f5c22f6b2e3e57d412a,TeamPCP setup.py payload — MD5 of malicious post-install hook,2026-10-20,TeamPCP|Unknown Supply Chain Actor
TIR-2026-006,Scattered Spider: Identity-Centric Attack Campaign — MFA Fatigue and Vishing,ir0n,2026-05-08,AMBER,ip,185.220.101.34,Tor exit node frequently used by Scattered Spider for initial VPN authentication,2026-08-08,Scattered Spider
TIR-2026-006,Scattered Spider: Identity-Centric Attack Campaign — MFA Fatigue and Vishing,ir0n,2026-05-08,AMBER,ip,185.220.100.252,Tor exit node — Scattered Spider vishing infrastructure,2026-08-08,Scattered Spider
TIR-2026-006,Scattered Spider: Identity-Centric Attack Campaign — MFA Fatigue and Vishing,ir0n,2026-05-08,AMBER,ip,45.142.212.100,EvilGinx2 phishing proxy infrastructure,2026-08-08,Scattered Spider
TIR-2026-006,Scattered Spider: Identity-Centric Attack Campaign — MFA Fatigue and Vishing,ir0n,2026-05-08,AMBER,domain,okta-helpdesk-support[.]com,Scattered Spider typosquat domain used in helpdesk impersonation vishing,2026-08-08,Scattered Spider
TIR-2026-006,Scattered Spider: Identity-Centric Attack Campaign — MFA Fatigue and Vishing,ir0n,2026-05-08,AMBER,domain,microsoft-support-sso[.]net,SSO phishing domain used in Scattered Spider campaigns,2026-08-08,Scattered Spider
TIR-2026-006,Scattered Spider: Identity-Centric Attack Campaign — MFA Fatigue and Vishing,ir0n,2026-05-08,AMBER,email,it-helpdesk-noreply@support-okta[.]com,Phishing email sender used in Scattered Spider campaigns,2026-08-08,Scattered Spider
TIR-2026-007,BlackCat/ALPHV Comeback: Infrastructure Reboot Post-Law-Enforcement Disruption,ir0n,2026-05-28,AMBER,ip,84.247.133.198,BlackCat/ALPHV Cobalt Strike team server — reactivated post-LE disruption,2026-08-28,BlackCat/ALPHV
TIR-2026-007,BlackCat/ALPHV Comeback: Infrastructure Reboot Post-Law-Enforcement Disruption,ir0n,2026-05-28,AMBER,ip,193.42.33.144,ALPHV affiliate exfiltration staging via RClone,2026-08-28,BlackCat/ALPHV
TIR-2026-007,BlackCat/ALPHV Comeback: Infrastructure Reboot Post-Law-Enforcement Disruption,ir0n,2026-05-28,WHITE,domain,alphvmmm27o3rrkfbolpoya6klduoiulbqs4clyso2obdmxu2notjfvqd.onion,Current ALPHV leak site (post-relaunch) — monitor for victim listings,None,BlackCat/ALPHV
TIR-2026-007,BlackCat/ALPHV Comeback: Infrastructure Reboot Post-Law-Enforcement Disruption,ir0n,2026-05-28,AMBER,sha256,f8f0b3836b1cde9547b7c9e3f27fe1d5a0e9b8c7d6e5f4a3b2c1d0e9f8a7b6c5,BlackCat Rust encryptor — latest variant with ESXi targeting capability,2026-10-28,BlackCat/ALPHV
TIR-2026-007,BlackCat/ALPHV Comeback: Infrastructure Reboot Post-Law-Enforcement Disruption,ir0n,2026-05-28,AMBER,sha256,a1b2c3d4e5f6789012345678901234567890abcdef1234567890abcdef12345678,RClone binary — modified version with hardcoded MEGA credentials,2026-10-28,BlackCat/ALPHV
TIR-2026-007,BlackCat/ALPHV Comeback: Infrastructure Reboot Post-Law-Enforcement Disruption,ir0n,2026-05-28,WHITE,url,https://alphvmm2xzrqazqfxsq7s3bqefmphfxmydixfmyakyf.onion/upload,ALPHV data extortion portal — used for victim negotiation and proof-of-data,None,BlackCat/ALPHV
TIR-2026-008,FIN7 Retail and POS Resurgence: USB BadUSB Campaign Targeting Physical Stores,ir0n,2026-06-02,AMBER,domain,updates-cdn-service[.]com,FIN7 POWERPLANT C2 domain — DNS TXT records used for command delivery,2026-09-02,FIN7
TIR-2026-008,FIN7 Retail and POS Resurgence: USB BadUSB Campaign Targeting Physical Stores,ir0n,2026-06-02,AMBER,domain,software-patch-delivery[.]net,FIN7 DICELOADER staging domain,2026-09-02,FIN7
TIR-2026-008,FIN7 Retail and POS Resurgence: USB BadUSB Campaign Targeting Physical Stores,ir0n,2026-06-02,AMBER,ip,91.92.254.25,FIN7 infrastructure — DICELOADER C2 server,2026-09-02,FIN7
TIR-2026-008,FIN7 Retail and POS Resurgence: USB BadUSB Campaign Targeting Physical Stores,ir0n,2026-06-02,AMBER,sha256,d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5,POWERPLANT PowerShell backdoor — delivered via USB autorun,2026-09-02,FIN7
TIR-2026-008,FIN7 Retail and POS Resurgence: USB BadUSB Campaign Targeting Physical Stores,ir0n,2026-06-02,AMBER,filename,FlashDriveSetup.exe,FIN7 USB dropper filename — BadUSB campaign targeting retail POS,2026-09-02,FIN7
TIR-2026-008,FIN7 Retail and POS Resurgence: USB BadUSB Campaign Targeting Physical Stores,ir0n,2026-06-02,AMBER,filename,POWERPLANT.ps1,FIN7 PowerShell C2 beacon script — obfuscated with base64 + XOR,2026-09-02,FIN7
TIR-2026-009,Volt Typhoon: Living-off-the-Land Pre-Positioning in Critical Infrastructure,ir0n,2026-06-10,AMBER,ip,174.138.56.195,Volt Typhoon SOHO router hop — compromised Cisco RV VPN device used as proxy,2026-09-10,Volt Typhoon
TIR-2026-009,Volt Typhoon: Living-off-the-Land Pre-Positioning in Critical Infrastructure,ir0n,2026-06-10,AMBER,ip,167.248.133.56,KV-botnet node — compromised SOHO device relaying Volt Typhoon traffic,2026-09-10,Volt Typhoon
TIR-2026-009,Volt Typhoon: Living-off-the-Land Pre-Positioning in Critical Infrastructure,ir0n,2026-06-10,AMBER,domain,vpn-secure-connect[.]org,Volt Typhoon proxy infrastructure domain,2026-09-10,Volt Typhoon
TIR-2026-009,Volt Typhoon: Living-off-the-Land Pre-Positioning in Critical Infrastructure,ir0n,2026-06-10,AMBER,sha256,b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2,FRP reverse proxy binary — custom compiled for Volt Typhoon operations,2026-09-10,Volt Typhoon
